usuario_id,data_criacao
5ab41a749d51b4001f35b33f,2018-03-22
5ab421689d51b4001f35b49f,2018-03-22
5ace77abc9d7ce001f87b698,2018-04-11
5ad0cc89362660001f03af02,2018-04-13
5ad56284acecb4001f9280cf,2018-04-16
5aecdc65e57c87001f3e1bd0,2018-05-04
5aef23558e84a6001f4467db,2018-05-06
5af62fee3e2025001f926cf8,2018-05-11
5b01c5e1df510d001f90830a,2018-05-20
5b2862e2e3b9d3001f81ad72,2018-06-18
5b3abd508ca2aa001ffe971f,2018-07-02
5b4b576198e218001fb0bdb9,2018-07-15
5b54c4362f6328001f488373,2018-07-22
5b75fabc83bc81001f7d40b9,2018-08-16
5b947574f809ea001f05c1f8,2018-09-08
5b9d8382356b2d001f6d8f6f,2018-09-15
5bac2106e89380002007c9d3,2018-09-26
5bbbfc835aa2fe002030eb91,2018-10-08
5bddba5536286600208382b5,2018-11-03
5bf16bc47dfafc003363acce,2018-11-18
5c2397c0d2aa7d00151225fe,2018-12-26
5c68b879c338d00020781b32,2019-02-16
5c715e3a821f0000202d1f7a,2019-02-23
5c89bbc3699dd5001b07abdf,2019-03-13
5cefa80f2517d200202c6612,2019-05-30
5d25cfe1bf75cd001bef0688,2019-07-10
5d2a0696f3a6e000739f1c19,2019-07-13
5d3dc8d4fc02250046252c2e,2019-07-28
5d47627eec648700395a9579,2019-08-04
5d6dbb25572a2f0092c42f91,2019-09-02
5dc47d01592fb200a602db9a,2019-11-07
5dc5a84834c5cd001bb18afd,2019-11-08
5e2f64ff84da5b001bd07067,2020-01-27
5e5e9ce5ba9e8600affe794a,2020-03-03
5e83c4431b5584003f2397c8,2020-03-31
5ecda0e954672200585270cd,2020-05-26
5edd7dfdb1f04e0070ec6298,2020-06-07
5ef67278300b5200b7e2cfc0,2020-06-26
5efd5f9507bb9000b1fff060,2020-07-02
5f00d4136cb0f8006a65bda1,2020-07-04
5f30527bc6d44a0038bd0dd2,2020-08-09
5f6b50ebd8c566007ca72e8c,2020-09-23
5f861b4c3990a10064c18f32,2020-10-13
5fc180450fbf340044b9b4c2,2020-11-27
60206d987186a600a6ed1bbf,2021-02-07
60249c9e1afc4d006ac1234b,2021-02-10
602a173ed3f8bc0021fa5ad7,2021-02-15
6057d038a703a40069bfda97,2021-03-21
609720bb54409b00be661e64,2021-05-08
60b28e3291254c004e2c7c49,2021-05-29
60ee2f137fb68800291c3551,2021-07-13
6105da166eef320042a2b414,2021-07-31
61185525cc0a2d00d240cd64,2021-08-14
6179d963ba484200491e9222,2021-10-27
6181a665a23d0d00b2c92b95,2021-11-02
61842c64c9002f00a786e185,2021-11-04
618d6937b99f56006108dd8f,2021-11-11
61a56058028ccb00c413a7c3,2021-11-29
623a105979e67600d3d23494,2022-03-22
6250ac12866b520041d49a43,2022-04-08
626ef0d6bc6bc800d6cdabd7,2022-05-01
62af2ca800e9a7003f4e8646,2022-06-19
62c34209d61baf00b98cd2b2,2022-07-04
62c6431f43ec3c0072d65c54,2022-07-06
63122e5d095e9300b152cfd8,2022-09-02
631e70caeb353f00c00c1a01,2022-09-11
631e82b094e5b5001feffdb5,2022-09-11
638b6be983ef24003bb69e51,2022-12-03
63a5ef82cbd6c100a130ac5c,2022-12-23
63a678d84d2a0700871aae3d,2022-12-24
63fcae9c70cb2100a0a1bfa9,2023-02-27
6401db62c4f622004aac4f7f,2023-03-03
6449afdc66f0770058cee831,2023-04-26
644c8ea87efac10068f5ca4e,2023-04-29
6479136ba8ab610051988c2f,2023-06-01
64988a6b6e210000b1b043f2,2023-06-25
64a9f277937ed600836b67de,2023-07-08
64e76de6f27b5900cac9c6ed,2023-08-24
64f7d721eecc47fe601eb4ba,2023-09-05
652b00c485c33857fa908604,2023-10-14
6567b8b2f46c95457cec4a8d,2023-11-29
65b196eb30622217c05305d9,2024-01-24
65f61d528aa042076afd2d25,2024-03-16
663fdbee2b19ee6d582f05f9,2024-05-11
667f2f4b49c0dea3c9e15d19,2024-06-28
66e4ba503d1fbe43314e457b,2024-09-13
66fcdcbdecfde303699e9e37,2024-10-02
6702b91927ecb4a1aa8568a8,2024-10-06
672e8e48ef63d2295e88ca9a,2024-11-08
674686ba642204e32c697504,2024-11-26
6766242f400a4466c962152b,2024-12-20
6782ef3f195863bce849574c,2025-01-11
67b7d47001422f7edfad54b8,2025-02-20
67d8e749e4c2707ebb434d49,2025-03-18
